;serie 1
tiempo(s);concentracion kitasato 1(g/L)
0;1,20096
1;1,20048
2;1,20144
3;1,20288
4;1,20288
5;1,20096
6;1,20096
7;1,20144
8;1,20144
9;1,20192
10;1,19856
11;1,19904
12;1,19664
13;1,19328
14;1,18848
15;1,18176
16;1,17744
17;1,17264
18;1,16832
19;1,1616
20;1,15776
21;1,15344
22;1,14768
23;1,14432
24;1,14048
25;1,13712
26;1,13232
27;1,12704
28;1,12608
29;1,12272
30;1,12032
31;1,11696
32;1,11312
33;1,11312
34;1,1136
35;1,11072
36;1,10688
37;1,104
38;1,10112
39;1,09968
40;1,0968
41;1,09296
42;1,09008
43;1,0872
44;1,08528
45;1,0824
46;1,07808
47;1,07568
48;1,07424
49;1,07232
50;1,06848
51;1,06512
52;1,06368
53;1,06176
54;1,05936
55;1,05504
56;1,05312
57;1,05072
58;1,04976
59;1,04736
60;1,04304
61;1,04208
62;1,04016
63;1,03776
64;1,03392
65;1,032
66;1,03104
67;1,02912
68;1,02528
69;1,0224
70;1,02096
71;1,02048
72;1,01904
73;1,01616
74;1,01376
75;1,01424
76;1,0152
77;1,01472
78;1,01376
79;1,0152
80;1,01568
81;1,01328
82;1,00944
83;1,008
84;1,00656
85;1,00416
86;1,00032
87;0,99696
88;0,996
89;0,9936
90;0,9912
91;0,98832
92;0,98592
93;0,98352
94;0,97968
95;0,9768
96;0,97392
97;0,97152
98;0,96816
99;0,96528
100;0,96048
101;0,95856
102;0,95568
103;0,95136
104;0,94848
105;0,94656
106;0,94368
107;0,94128
108;0,9384
109;0,93552
110;0,93072
111;0,92928
112;0,92736
113;0,92496
114;0,92208
115;0,91824
116;0,91728
117;0,91536
118;0,9144
119;0,912
120;0,91008
121;0,9096
122;0,90768
123;0,90528
124;0,90336
125;0,90384
126;0,9024
127;0,9
128;0,89856
129;0,89808
130;0,89856
131;0,89664
132;0,89376
133;0,8928
134;0,8928
135;0,89232
136;0,89136
137;0,8904
138;0,88992
139;0,888
140;0,88704
141;0,88368
142;0,88272
143;0,88128
144;0,87984
145;0,8784
146;0,876
147;0,87504
148;0,87504
149;0,87312
150;0,87168
151;0,87216
152;0,87264
153;0,87456
154;0,87408
155;0,87504
156;0,87648
157;0,87696
158;0,87744
159;0,876
160;0,87744
161;0,8784
162;0,87696
163;0,87552
164;0,87552
165;0,87648
166;0,876
167;0,87312
168;0,8736
169;0,8736
170;0,87168
171;0,86976
172;0,8688
173;0,8688
174;0,86832
175;0,86592
176;0,86592
177;0,864
178;0,86304
179;0,86112
180;0,86016
181;0,85776
182;0,85872
183;0,8568
184;0,85344
185;0,85296
186;0,85248
187;0,85104
188;0,8472
189;0,84432
190;0,8448
191;0,84336
192;0,83952
193;0,83568
194;0,83568
195;0,8352
196;0,83328
197;0,83184
198;0,82992
199;0,82896
200;0,82752
201;0,82464
202;0,82416
203;0,82368
204;0,8232
205;0,82224
206;0,82176
207;0,82176
208;0,81984
209;0,81792
210;0,81504
211;0,816
212;0,81504
213;0,81408
214;0,8136
215;0,81216
216;0,81072
217;0,8112
218;0,8112
219;0,81024
220;0,80784
221;0,80736
222;0,80832
223;0,80832
224;0,8064
225;0,80448
226;0,8016
227;0,80064
228;0,79968
229;0,7992
230;0,79584
231;0,79584
232;0,79584
233;0,7944
234;0,79296
235;0,79056
236;0,79008
237;0,7896
238;0,78624
239;0,78288
240;0,78336
241;0,78288
242;0,78096
243;0,77712
244;0,77424
245;0,77376
246;0,77472
247;0,77376
248;0,77136
249;0,77232
250;0,7704
251;0,76896
252;0,768
253;0,76608
254;0,76656
255;0,76368
256;0,76224
257;0,76032
258;0,75984
259;0,75936
260;0,75696
261;0,75552
262;0,75648
263;0,7536
264;0,7512
265;0,7536
266;0,7536
267;0,75168
268;0,75024
269;0,75024
270;0,7488
271;0,7464
272;0,74496
273;0,74448
274;0,74544
275;0,74256
276;0,74256
277;0,74256
278;0,74208
279;0,74016
280;0,73872
281;0,7392
282;0,73968
283;0,73776
284;0,73872
285;0,73776
286;0,73488
287;0,732
288;0,732
289;0,73296
290;0,73056
291;0,7296
292;0,7272
293;0,7272
294;0,72864
295;0,72816
296;0,72528
297;0,72384
298;0,72384
299;0,71952
300;0,72048
301;0,72048
302;0,72
303;0,71952
304;0,72
305;0,72
306;0,71808
307;0,71712
308;0,71616
309;0,71664
310;0,71664
311;0,7152
312;0,71808
313;0,71616
314;0,71472
315;0,71328
316;0,71568
317;0,71712
318;0,71328
319;0,71376
320;0,71328
321;0,71568
322;0,71568
323;0,71568
324;0,71472
325;0,71472
326;0,71184
327;0,71088
328;0,71232
329;0,71136
330;0,70896
331;0,70656
332;0,70704
333;0,70464
334;0,70176
335;0,70032
336;0,70032
337;0,69984
338;0,69888
339;0,69984
340;0,70176
341;0,6984
342;0,69648
343;0,69744
344;0,69696
345;0,69552
346;0,69552
347;0,69552
348;0,69696
349;0,69504
350;0,69456
351;0,69408
352;0,6912
353;0,68832
354;0,68688
355;0,68496
356;0,68112
357;0,67968
358;0,67632
359;0,67536
360;0,6744
361;0,67056
362;0,66864
363;0,66624
364;0,66288
365;0,66096
366;0,66192
367;0,65808
368;0,65568
369;0,6552
370;0,65232
371;0,65088
372;0,64944
373;0,64944
374;0,64656
375;0,6456
376;0,64368
377;0,64608
378;0,6432
379;0,64128
380;0,63936
381;0,63744
382;0,63456
383;0,6336
384;0,63024
385;0,6312
386;0,62976
387;0,62976
388;0,62928
389;0,62688
390;0,62688
391;0,62592
392;0,62352
393;0,62016
394;0,62112
395;0,62016
396;0,6192
397;0,61728
398;0,61776
399;0,6168
400;0,61488
401;0,6144
402;0,6144
403;0,61536
404;0,61296
405;0,61392
406;0,61056
407;0,61152
408;0,61104
409;0,61056
410;0,6144
411;0,612
412;0,61104
413;0,61008
414;0,61056
415;0,61152
416;0,61344
417;0,61152
418;0,61344
419;0,61536
420;0,61344
421;0,61296
422;0,61392
423;0,61488
424;0,6168
425;0,6168
426;0,61488
427;0,61488
428;0,61536
429;0,61584
430;0,6144
431;0,61344
432;0,61344
433;0,61104
434;0,61056
435;0,61104
436;0,61152
437;0,60816
438;0,6096
439;0,61296
440;0,61008
441;0,60816
442;0,60768
443;0,60864
444;0,60816
445;0,60432
446;0,60528
447;0,6048
448;0,60672
449;0,6048
450;0,59952
451;0,6
452;0,59808
453;0,59856
454;0,59376
455;0,5928
456;0,5928
457;0,59184
458;0,59088
459;0,588
460;0,58848
461;0,58656
462;0,5856
463;0,58704
464;0,58464
465;0,58464
466;0,5856
467;0,58656
468;0,5856
469;0,58272
470;0,58176
471;0,58464
472;0,58464
473;0,58176
474;0,58224
