;;;;;;
;Paper ID;Compuesto;Número de C;Temperatura [K];Presión [kPa];
;P22;etano;2;91,34;0,00154646;
;P22;etano;2;93,7;0,002732969;
;P22;etano;2;96,24;0,004986002;
;P22;etano;2;100,7;0,013144914;
;P22;etano;2;105,6;0,033062258;
;P22;etano;2;114,24;0,146647114;
;P22;etano;2;120,38;0,365284629;
;P22;etano;2;129,81;1,247833622;
;P22;etano;2;135,77;2,453006266;
;P22;etano;2;140,55;4,079456073;
;P22;etano;2;144,14;5,705905879;
;P22;propano;3;94,54;6,63911E-06;
;P22;propano;3;99,78;3,4662E-05;
;P22;propano;3;105,15;0,000112118;
;P22;propano;3;110,65;0,000437275;
;P22;propano;3;117,42;0,001706439;
;P22;propano;3;127,72;0,011358486;
;P22;propano;3;134,15;0,030929209;
;P22;propano;3;143,74;0,121183842;
;P22;propano;3;155,72;0,527929609;
;P22;propano;3;162,45;1,049193441;
;P22;propano;3;173,58;3,159578723;
;P22;propano;3;178,65;4,572723637;
;P22;butano;4;135,43;0,000902546;
;P22;butano;4;137,73;0,001079856;
;P22;butano;4;138,93;0,00145314;
;P22;butano;4;146,32;0,005132649;
;P22;butano;4;148,1;0,006785762;
;P22;butano;4;154,84;0,018397547;
;P22;butano;4;159,79;0,032262365;
;P22;butano;4;171,43;0,125983202;
;P22;butano;4;184,09;0,486601786;
;P22;butano;4;194,65;1,241167844;
;P22;butano;4;196,71;1,533128916;
;P22;butano;4;205,27;3,132915611;
;P22;butano;4;209,28;3,772830289;
;P22;butano;4;212,9;4,946007199;
;P22;pentano;5;143,61;8,09225E-05;
;P22;pentano;5;150,51;0,000269297;
;P22;pentano;5;164,41;0,000766564;
;P22;pentano;5;179,6;0,002599653;
;P22;pentano;5;189,41;0,01919744;
;P22;pentano;5;205,96;0,056925743;
;P22;pentano;5;218,97;0,285295294;
;P22;pentano;5;227,21;0,926543128;
;P22;pentano;5;242,29;1,733102253;
;P22;pentano;5;157,28;3,399546727;
;P22;hexano;6;177,71;0,001359819;
;P22;hexano;6;178,02;0,00137315;
;P22;hexano;6;181,45;0,002266364;
;P22;hexano;6;184,22;0,003212905;
;P22;hexano;6;189,16;0,005972537;
;P22;hexano;6;197,21;0,013598187;
;P22;hexano;6;211,9;0,064124783;
;P22;hexano;6;219,86;0,128249567;
;P22;hexano;6;238,31;0,655912545;
;P22;hexano;6;248,24;1,263831489;
;P22;hexano;6;258,76;2,559658712;
;P22;hexano;6;264,94;3,119584055;
;P26;hexano;6;307,746;30,12;
;P26;hexano;6;320,442;49,08;
;P26;hexano;6;323,167;54,12;
;P26;hexano;6;328,057;64,37;
;P26;hexano;6;333,078;76,34;
;P26;hexano;6;338,254;90,41;
;P26;hexano;6;343,06;105,27;
;P26;hexano;6;347,54;120,8;
;P26;hexano;6;352,709;140,81;
;P26;hexano;6;357,616;162,1;
;P26;hexano;6;362,991;188,2;
;P26;hexano;6;367,966;215,15;
;P26;hexano;6;372,959;245,11;
;P26;hexano;6;378,001;278,43;
;P26;hexano;6;383,018;314,95;
;P26;hexano;6;388,012;354,78;
;P26;hexano;6;393,176;399,82;
;P26;hexano;6;398,096;446,68;
;P26;hexano;6;402,988;497,36;
;P26;hexano;6;408,048;554,08;
;P26;hexano;6;413,13;615,91;
;P26;hexano;6;417,91;678,66;
;P26;hexano;6;422,85;748,37;
;P26;hexano;6;428,017;826,59;
;P26;hexano;6;432,975;907,58;
;P26;hexano;6;437,918;994,14;
;P26;hexano;6;442,919;1086,8;
;P22;heptano;7;185,3;0,000287962;
;P22;heptano;7;192,74;0,000866551;
;P22;heptano;7;204,94;0,004239435;
;P22;heptano;7;217,45;0,016397814;
;P22;heptano;7;231,04;0,057459005;
;P22;heptano;7;245,2;0,19597387;
;P22;heptano;7;259,15;0,594587388;
;P22;heptano;7;274,1;1,666444474;
;P22;heptano;7;285,07;2,986268498;
;P22;heptano;7;295,61;5,079322757;
;P22;octano;8;216,6;0,00239968;
;P22;octano;8;218,51;0,0027463;
;P22;octano;8;223,23;0,004399413;
;P22;octano;8;230,42;0,009705373;
;P22;octano;8;238,07;0,020130649;
;P22;octano;8;250,09;0,059325423;
;P22;octano;8;259,4;0,127716304;
;P22;octano;8;278,41;0,531929076;
;P22;octano;8;289,56;1,04652713;
;P22;octano;8;297,11;1,573123584;
;P23;octano;8;263,85;0,19597387;
;P23;octano;8;270,15;0,309292094;
;P23;octano;8;276,85;0,486601786;
;P22;nonano;9;219,66;0,000758566;
;P22;nonano;9;223,75;0,000825223;
;P22;nonano;9;224,89;0,00092521;
;P22;nonano;9;236,83;0,003279563;
;P22;nonano;9;245,7;0,007865618;
;P22;nonano;9;263,18;0,037328356;
;P22;nonano;9;275,75;0,100386615;
;P22;nonano;9;294,14;0,403946141;
;P22;nonano;9;300,05;0,602586322;
;P22;nonano;9;307,74;0,722570324;
;P13;n-decano;10;323,079;0,8741;
;P13;n-decano;10;333,083;1,509;
;P13;n-decano;10;353,088;4,05;
;P13;n-decano;10;373,12;9,562;
;P13;n-decano;10;393,121;20,15;
;P13;n-decano;10;393,121;20,154;
;P13;n-decano;10;413,122;38,892;
;P13;n-decano;10;433,123;69,685;
;P13;n-decano;10;453,124;117,25;
;P13;n-decano;10;473,126;187,25;
;P13;n-decano;10;493,126;285,77;
;P13;n-decano;10;513,127;420,38;
;P13;n-decano;10;533,129;598,79;
;P13;n-decano;10;553,13;830,15;
;P13;n-decano;10;573,13;1125,9;
;P13;n-decano;10;588,132;1395;
;P19;decano;10;298,091;0,179976003;
;P19;decano;10;303,172;0,25329956;
;P19;decano;10;308,169;0,351953073;
;P19;decano;10;313,155;0,481269164;
;P19;decano;10;318,152;0,650579923;
;P19;decano;10;323,156;0,87455006;
;P19;decano;10;328,151;1,16117851;
;P19;decano;10;333,146;1,51979736;
;P19;decano;10;338,066;1,95707239;
;P19;decano;10;343,199;2,540994534;
;P19;decano;10;347,887;3,182242368;
;P22;decano;10;243,5;0,001719771;
;P22;decano;10;251,31;0,003199573;
;P22;decano;10;254,47;0,004586055;
;P22;decano;10;263,61;0,010598587;
;P22;decano;10;277,5;0,033195574;
;P22;decano;10;289,89;0,086521797;
;P22;decano;10;304,6;0,186641781;
;P22;decano;10;310,6;0,205305959;
;P23;decano;10;269,35;0,021997067;
;P23;decano;10;273,35;0,027996267;
;P23;decano;10;273,65;0,030662578;
;P23;decano;10;281,65;0,062658312;
;P13;n-dodecano;12;353,119;0,7338;
;P13;n-dodecano;12;373,12;2,03;
;P13;n-dodecano;12;393,071;4,912;
;P13;n-dodecano;12;413,077;10,69;
;P13;n-dodecano;12;433,123;21,248;
;P13;n-dodecano;12;453,124;39,125;
;P13;n-dodecano;12;473,125;67,572;
;P13;n-dodecano;12;493,126;110,5;
;P13;n-dodecano;12;513,126;17241;
;P13;n-dodecano;12;533,129;258,71;
;P13;n-dodecano;12;553,13;375,27;
;P13;n-dodecano;12;573,131;528,82;
;P13;n-dodecano;12;588,132;671,13;
;P19;dodecano;12;298,081;0,017331023;
;P19;dodecano;12;302,1;0,024663378;
;P19;dodecano;12;303,116;0,026663112;
;P19;dodecano;12;308,193;0,039994667;
;P19;dodecano;12;313,174;0,058125583;
;P19;dodecano;12;313,44;0,060258632;
;P19;dodecano;12;318,173;0,084788695;
;P19;dodecano;12;323,128;0,120517264;
;P19;dodecano;12;323,15;0,118784162;
;P19;dodecano;12;328,477;0,170643914;
;P19;dodecano;12;333,23;0,231969071;
;P19;dodecano;12;338,086;0,31062525;
;P19;dodecano;12;342,38;0,409278763;
;P19;dodecano;12;343,243;0,422610319;
;P19;dodecano;12;348,097;0,558592188;
;P19;dodecano;12;351,98;0,691907746;
;P19;dodecano;12;353,324;0,745233969;
;P19;dodecano;12;373,02;2,013064925;
;P19;dodecano;12;389,66;4,25809892;
;P13;n-tetradecano;14;373,076;0,4429;
;P13;n-tetradecano;14;393,086;1,227;
;P13;n-tetradecano;14;413,096;3,026;
;P13;n-tetradecano;14;433,106;6,693;
;P13;n-tetradecano;14;453,115;13,526;
;P13;n-tetradecano;14;473,126;25,267;
;P13;n-tetradecano;14;493,126;44,274;
;P13;n-tetradecano;14;503,114;57,442;
;P13;n-tetradecano;14;513,127;73,53;
;P13;n-tetradecano;14;523,129;93,059;
;P13;n-tetradecano;14;533,129;116,5;
;P13;n-tetradecano;14;533,129;116,52;
;P13;n-tetradecano;14;553,13;177,57;
;P13;n-tetradecano;14;573,13;261,56;
;P13;n-tetradecano;14;583,132;314,05;
;P13;n-tetradecano;14;588,132;343,45;
;P19;tetradecano;14;343,16;0,071990401;
;P19;tetradecano;14;343,6;0,074523397;
;P19;tetradecano;14;353,15;0,136781762;
;P19;tetradecano;14;364,15;0,262631649;
;P19;tetradecano;14;379,93;0,634582056;
;P19;tetradecano;14;394,73;1,32382349;
;P23;tetradecano;14;292,15;0,000933209;
;P19;pentadecano;15;333,15;0,015864551;
;P19;pentadecano;15;345,99;0,035595254;
;P19;pentadecano;15;354,68;0,064124783;
;P19;pentadecano;15;367,46;0,147980269;
;P19;pentadecano;15;384,15;0,383948807;
;P19;pentadecano;15;409,15;1,345153979;
;P13;n-hexadecano;16;393,046;0,3176;
;P13;n-hexadecano;16;403,053;0,5412;
;P13;n-hexadecano;16;413,059;0,8861;
;P13;n-hexadecano;16;423,066;1,408;
;P13;n-hexadecano;16;433,072;2,172;
;P13;n-hexadecano;16;443,079;3,273;
;P13;n-hexadecano;16;453,085;4,81;
;P13;n-hexadecano;16;463,093;6,921;
;P13;n-hexadecano;16;473,126;9,774;
;P13;n-hexadecano;16;483,106;13,53;
;P13;n-hexadecano;16;493,126;18,414;
;P13;n-hexadecano;16;503,119;24,691;
;P13;n-hexadecano;16;513,127;32,6;
;P13;n-hexadecano;16;523,129;42,464;
;P13;n-hexadecano;16;533,129;54,642;
;P13;n-hexadecano;16;543,129;69,438;
;P13;n-hexadecano;16;553,13;87,294;
;P13;n-hexadecano;16;563,13;108,62;
;P13;n-hexadecano;16;573,13;133,94;
;P13;n-hexadecano;16;583,132;163,53;
;P13;n-octadecano;18;413,069;0,2656;
;P13;n-octadecano;18;423,074;0,4436;
;P13;n-octadecano;18;443,086;1,148;
;P13;n-octadecano;18;443,086;1,148;
;P13;n-octadecano;18;453,124;1,761;
;P13;n-octadecano;18;463,098;2,637;
;P13;n-octadecano;18;473,126;3,87;
;P13;n-octadecano;18;483,126;5,566;
;P13;n-octadecano;18;493,126;7,834;
